keyMuniCode,SWISKey,MuniName,MuniType,CountyName,LogicalType
010100000000,010000,Albany,County,Albany,County
010201000000,010100,Albany,City,Albany,Major Urban Center
010209000000,010300,Cohoes,City,Albany,Smaller Urban Center (Upstate)
010260000000,011800,Watervliet,City,Albany,Smaller Urban Center (Upstate)
010306800000,012000,Berne,Town,Albany,Rural
010307100000,012200,Bethlehem,Town,Albany,Suburb
010318000000,012400,Coeymans,Town,Albany,Suburb
010318700000,012600,Colonie,Town,Albany,Suburb
010335500000,013000,Guilderland,Town,Albany,Suburb
010344300000,013200,Knox,Town,Albany,Rural
010358100000,013400,New Scotland,Town,Albany,Suburb
010370600000,013600,Rensselaerville,Town,Albany,Rural
010389000000,013800,Westerlo,Town,Albany,Rural
010418004140,012401,Ravena,Village,Albany,Suburb
010418701100,012601,Colonie,Village,Albany,Suburb
010418703040,012603,Menands,Village,Albany,Suburb
010434502040,012801,Green Island,Village,Albany,Smaller Urban Center (Upstate)
010435500120,013001,Altamont,Village,Albany,Suburb
010458105090,013401,Voorheesville,Village,Albany,Suburb
020100000000,020000,Allegany,County,Allegany,County
020301000000,022000,Alfred,Town,Allegany,Rural
020301400000,022600,Almond,Town,Allegany,Rural
020302000000,022800,Amity,Town,Allegany,Rural
020302400000,023000,Andover,Town,Allegany,Rural
020302500000,023200,Angelica,Town,Allegany,Rural
020306000000,023400,Belfast,Town,Allegany,Rural
020307900000,023800,Bolivar,Town,Allegany,Rural
020310300000,024000,Burns,Town,Allegany,Rural
020312300000,024200,Caneadea,Town,Allegany,Rural
020316800000,024600,Clarksville,Town,Allegany,Rural
020321200000,024800,Cuba,Town,Allegany,Rural
020331800000,025200,Genesee,Town,Allegany,Rural
020340800000,025800,Hume,Town,Allegany,Rural
020341500000,026000,Independence,Town,Allegany,Rural
020373000000,026400,Rushford,Town,Allegany,Rural
020375900000,026600,Scio,Town,Allegany,Rural
020388700000,027000,Wellsville,Town,Allegany,Rural
020391200000,027400,Willing,Town,Allegany,Rural
020392100000,027600,Wirt,Town,Allegany,Rural
020401000090,022001,Alfred,Village,Allegany,Smaller Urban Center (Upstate)
020402400170,023001,Andover,Village,Allegany,Smaller Urban Center (Upstate)
020407900490,023801,Bolivar,Village,Allegany,Smaller Urban Center (Upstate)
020421201210,024801,Cuba,Village,Allegany,Smaller Urban Center (Upstate)
020488705270,027001,Wellsville,Village,Allegany,Smaller Urban Center (Upstate)
030100000000,030000,Broome,County,Broome,County
030206000000,030200,Binghamton,City,Broome,Smaller Urban Center (Upstate)
030305100000,032000,Barker,Town,Broome,Rural
030307300000,032200,Binghamton,Town,Broome,Rural
030315400000,032400,Chenango,Town,Broome,Suburb
030318500000,032600,Colesville,Town,Broome,Rural
030319500000,032800,Conklin,Town,Broome,Rural
030323500000,033000,Dickinson,Town,Broome,Suburb
030328600000,033200,Fenton,Town,Broome,Rural
030344200000,033400,Kirkwood,Town,Broome,Suburb
030347300000,033600,Lisle,Town,Broome,Rural
030349900000,033800,Maine,Town,Broome,Rural
030355800000,034000,Nanticoke,Town,Broome,Rural
030374300000,034200,Sanford,Town,Broome,Rural
030383300000,034400,Triangle,Town,Broome,Rural
030384600000,034600,Union,Town,Broome,Rural
030385500000,034800,Vestal,Town,Broome,Suburb
030391900000,035000,Windsor,Town,Broome,Rural
030423504030,033001,Port Dickinson,Village,Broome,Smaller Urban Center (Upstate)
030474301290,034201,Deposit,Village,Broome,Smaller Urban Center (Upstate)
030484601580,034601,Endicott,Village,Broome,Smaller Urban Center (Upstate)
030484602480,034603,Johnson City,Village,Broome,Smaller Urban Center (Upstate)
040100000000,040000,Cattaraugus,County,Cattaraugus,County
040239000000,041200,Olean,City,Cattaraugus,Smaller Urban Center (Upstate)
040251000000,041600,Salamanca,City,Cattaraugus,Smaller Urban Center (Upstate)
040301100000,042000,Allegany,Town,Cattaraugus,Rural
040303300000,042200,Ashford,Town,Cattaraugus,Rural
040313300000,042400,Carrollton,Town,Cattaraugus,Rural
040319400000,042800,Conewango,Town,Cattaraugus,Rural
040322100000,043000,Dayton,Town,Cattaraugus,Rural
040326500000,043600,Ellicottville,Town,Cattaraugus,Suburb
040328200000,043800,Farmersville,Town,Cattaraugus,Rural
040330200000,044000,Franklinville,Town,Cattaraugus,Rural
040330300000,044200,Freedom,Town,Cattaraugus,Rural
040334000000,044400,Great Valley,Town,Cattaraugus,Rural
040339500000,044600,Hinsdale,Town,Cattaraugus,Rural
040345800000,045200,Leon,Town,Cattaraugus,Rural
040347600000,045400,Little Valley,Town,Cattaraugus,Rural
040349500000,045800,Machias,Town,Cattaraugus,Rural
040356000000,046200,Napoli,Town,Cattaraugus,Rural
040356400000,046400,New Albion,Town,Cattaraugus,Rural
040360800000,046600,Olean,Town,Cattaraugus,Rural
040365200000,047000,Perrysburg,Town,Cattaraugus,Rural
040365300000,047200,Persia,Town,Cattaraugus,Rural
040368300000,047400,Portville,Town,Cattaraugus,Rural
040369900000,047600,Randolph,Town,Cattaraugus,Rural
040393100000,048400,Yorkshire,Town,Cattaraugus,Rural
040401100100,042001,Allegany,Village,Cattaraugus,Smaller Urban Center (Upstate)
040430201830,044001,Franklinville,Village,Cattaraugus,Smaller Urban Center (Upstate)
040447602740,045401,Little Valley,Village,Cattaraugus,Smaller Urban Center (Upstate)
040456400830,046401,Cattaraugus,Village,Cattaraugus,Smaller Urban Center (Upstate)
040465301970,047201,Gowanda,Village,Cattaraugus,Smaller Urban Center (Upstate)
040469904130,,Randolph,Village,Cattaraugus,Smaller Urban Center (Upstate)
040493101260,048401,Delevan,Village,Cattaraugus,Smaller Urban Center (Upstate)
050100000000,050000,Cayuga,County,Cayuga,County
050203000000,050100,Auburn,City,Cayuga,Smaller Urban Center (Upstate)
050303900000,052000,Aurelius,Town,Cayuga,Rural
050310000000,052200,Brutus,Town,Cayuga,Rural
050313700000,052400,Cato,Town,Cayuga,Rural
050319600000,052600,Conquest,Town,Cayuga,Rural
050328900000,052800,Fleming,Town,Cayuga,Suburb
050332200000,053000,Genoa,Town,Cayuga,Rural
050341800000,053200,Ira,Town,Cayuga,Rural
050345400000,053400,Ledyard,Town,Cayuga,Rural
050348000000,053600,Locke,Town,Cayuga,Rural
050352300000,053800,Mentz,Town,Cayuga,Rural
050354400000,054000,Montezuma,Town,Cayuga,Rural
050354800000,054200,Moravia,Town,Cayuga,Rural
050358600000,054400,Niles,Town,Cayuga,Rural
050363100000,054600,Owasco,Town,Cayuga,Rural
050376000000,054800,Scipio,Town,Cayuga,Rural
050376600000,055200,Sennett,Town,Cayuga,Rural
050379700000,055400,Springport,Town,Cayuga,Rural
050380500000,055600,Sterling,Town,Cayuga,Rural
050382400000,056000,Throop,Town,Cayuga,Rural
050385200000,056200,Venice,Town,Cayuga,Rural
050385800000,056400,Victory,Town,Cayuga,Rural
050410005250,052201,Weedsport,Village,Cayuga,Smaller Urban Center (Upstate)
050452304010,053801,Port Byron,Village,Cayuga,Smaller Urban Center (Upstate)
050454803230,054201,Moravia,Village,Cayuga,Smaller Urban Center (Upstate)
050479704970,055401,Union Springs,Village,Cayuga,Smaller Urban Center (Upstate)
060100000000,060000,Chautauqua,County,Chautauqua,County
060212000000,060300,Dunkirk,City,Chautauqua,Smaller Urban Center (Upstate)
060222000000,060800,Jamestown,City,Chautauqua,Smaller Urban Center (Upstate)
060303200000,062000,Arkwright,Town,Chautauqua,Rural
060310400000,062200,Busti,Town,Chautauqua,Rural
060313200000,062400,Carroll,Town,Chautauqua,Rural
060314600000,062600,Charlotte,Town,Chautauqua,Rural
060315000000,062800,Chautauqua,Town,Chautauqua,Rural
060315500000,063000,Cherry Creek,Town,Chautauqua,Rural
060317700000,063200,Clymer,Town,Chautauqua,Rural
060324300000,063400,Dunkirk,Town,Chautauqua,Suburb
060326300000,063600,Ellery,Town,Chautauqua,Rural
060326400000,063800,Ellicott,Town,Chautauqua,Smaller Urban Center (Upstate)
060326600000,064000,Ellington,Town,Chautauqua,Rural
060332700000,064400,Gerry,Town,Chautauqua,Rural
060337000000,064600,Hanover,Town,Chautauqua,Rural
060337300000,064800,Harmony,Town,Chautauqua,Rural
060343700000,065000,Kiantone,Town,Chautauqua,Rural
060353500000,065200,Mina,Town,Chautauqua,Rural
060359600000,065400,North Harmony,Town,Chautauqua,Rural
060367700000,065600,Poland,Town,Chautauqua,Rural
060367800000,065800,Pomfret,Town,Chautauqua,Rural
060368200000,066000,Portland,Town,Chautauqua,Rural
060371500000,066200,Ripley,Town,Chautauqua,Rural
060377500000,066400,Sheridan,Town,Chautauqua,Rural
060377600000,066600,Sherman,Town,Chautauqua,Rural
060381100000,066800,Stockton,Town,Chautauqua,Rural
060386000000,067000,Villenova,Town,Chautauqua,Rural
060389200000,067200,Westfield,Town,Chautauqua,Rural
060415003020,062801,Mayville,Village,Chautauqua,Smaller Urban Center (Upstate)
060426400880,063801,Celoron,Village,Chautauqua,Smaller Urban Center (Upstate)
060426401640,063803,Falconer,Village,Chautauqua,Smaller Urban Center (Upstate)
060437004600,064603,Silver Creek,Village,Chautauqua,Smaller Urban Center (Upstate)
060467801840,065801,Fredonia,Village,Chautauqua,Smaller Urban Center (Upstate)
060468200570,066001,Brocton,Village,Chautauqua,Smaller Urban Center (Upstate)
060489205300,067201,Westfield,Village,Chautauqua,Smaller Urban Center (Upstate)
070100000000,070000,Chemung,County,Chemung,County
070213000000,070400,Elmira,City,Chemung,Smaller Urban Center (Upstate)
070303400000,072000,Ashland,Town,Chemung,Rural
070307200000,072400,Big Flats,Town,Chemung,Suburb
070313600000,072600,Catlin,Town,Chemung,Rural
070315300000,072800,Chemung,Town,Chemung,Rural
070326900000,073000,Elmira,Town,Chemung,Suburb
070327200000,073200,Erin,Town,Chemung,Rural
070340500000,073400,Horseheads,Town,Chemung,Rural
070379100000,073600,Southport,Town,Chemung,Rural
070385000000,073800,Van Etten,Town,Chemung,Rural
070385600000,074000,Veteran,Town,Chemung,Rural
070440501560,073001,Elmira Heights,Village,Chemung,Smaller Urban Center (Upstate)
070440502390,073401,Horseheads,Village,Chemung,Suburb
080100000000,080000,Chenango,County,Chenango,County
080237000000,081100,Norwich,City,Chenango,Smaller Urban Center (Upstate)
080300300000,082000,Afton,Town,Chenango,Rural
080304700000,082200,Bainbridge,Town,Chenango,Rural
080320500000,082600,Coventry,Town,Chenango,Rural
080334300000,083000,Greene,Town,Chenango,Rural
080335600000,083200,Guilford,Town,Chenango,Rural
080356700000,083800,New Berlin,Town,Chenango,Rural
080359900000,084000,North Norwich,Town,Chenango,Rural
080360300000,084200,Norwich,Town,Chenango,Suburb
080362800000,084400,Otselic,Town,Chenango,Rural
080367500000,085200,Plymouth,Town,Chenango,Rural
080377400000,085600,Sherburne,Town,Chenango,Rural
080378100000,085800,Smithville,Town,Chenango,Rural
080378200000,086000,Smyrna,Town,Chenango,Rural
080404700320,082201,Bainbridge,Village,Chenango,Smaller Urban Center (Upstate)
080434302030,083001,Greene,Village,Chenango,Smaller Urban Center (Upstate)
080456703380,083801,New Berlin,Village,Chenango,Smaller Urban Center (Upstate)
080463303730,084601,Oxford,Village,Chenango,Smaller Urban Center (Upstate)
080477404550,085603,Sherburne,Village,Chenango,Smaller Urban Center (Upstate)
090100000000,090000,Clinton,County,Clinton,County
090244000000,091300,Plattsburgh,City,Clinton,Smaller Urban Center (Upstate)
090301600000,092000,Altona,Town,Clinton,Rural
090304100000,092200,Ausable,Town,Clinton,Rural
090305900000,092400,Beekmantown,Town,Clinton,Rural
090307500000,092600,Black Brook,Town,Clinton,Rural
090314400000,092800,Champlain,Town,Clinton,Rural
090315100000,093000,Chazy,Town,Clinton,Rural
090321500000,093400,Dannemora,Town,Clinton,Rural
090326200000,093600,Ellenburg,Town,Clinton,Rural
090354700000,093800,Mooers,Town,Clinton,Rural
090365500000,094000,Peru,Town,Clinton,Rural
090367300000,094200,Plattsburgh,Town,Clinton,Suburb
090374600000,094400,Saranac,Town,Clinton,Rural
090375800000,094600,Schuyler Falls,Town,Clinton,Rural
090404102500,092201,Keeseville,Village,Clinton,Smaller Urban Center (Upstate)
090414400910,092801,Champlain,Village,Clinton,Smaller Urban Center (Upstate)
090414404300,092803,Rouses Point,Village,Clinton,Suburb
090421501220,093401,Dannemora,Village,Clinton,Smaller Urban Center (Upstate)
100100000000,100000,Columbia,County,Columbia,County
100220000000,100600,Hudson,City,Columbia,Smaller Urban Center (Upstate)
100302200000,102000,Ancram,Town,Columbia,Rural
100304200000,102200,Austerlitz,Town,Columbia,Rural
100311800000,102400,Canaan,Town,Columbia,Suburb
100314900000,102600,Chatham,Town,Columbia,Rural
100316900000,102800,Claverack,Town,Columbia,Rural
100317200000,103000,Clermont,Town,Columbia,Rural
100319900000,103200,Copake,Town,Columbia,Rural
100331300000,103400,Gallatin,Town,Columbia,Rural
100332600000,103600,Germantown,Town,Columbia,Rural
100332800000,103800,Ghent,Town,Columbia,Rural
100334600000,104000,Greenport,Town,Columbia,Suburb
100339400000,104200,Hillsdale,Town,Columbia,Rural
100343800000,104400,Kinderhook,Town,Columbia,Rural
100347700000,104600,Livingston,Town,Columbia,Rural
100357700000,104800,New Lebanon,Town,Columbia,Rural
100381000000,105000,Stockport,Town,Columbia,Rural
100381500000,105200,Stuyvesant,Town,Columbia,Rural
100382000000,105400,Taghkanic,Town,Columbia,Rural
100416903890,102801,Philmont,Village,Columbia,Smaller Urban Center (Upstate)
100432800930,102601,Chatham,Village,Columbia,Smaller Urban Center (Upstate)
100443802530,104401,Kinderhook,Village,Columbia,Suburb
100443805010,104403,Valatie,Village,Columbia,Suburb
110100000000,110000,Cortland,County,Cortland,County
110211000000,110200,Cortland,City,Cortland,Smaller Urban Center (Upstate)
110316200000,112000,Cincinnatus,Town,Cortland,Rural
110320400000,112200,Cortlandville,Town,Cortland,Rural
110321300000,112400,Cuyler,Town,Cortland,Rural
110339700000,113000,Homer,Town,Cortland,Rural
110350800000,113400,Marathon,Town,Cortland,Rural
110369000000,113600,Preble,Town,Cortland,Rural
110376100000,113800,Scott,Town,Cortland,Rural
110378400000,114000,Solon,Town,Cortland,Rural
110383500000,114400,Truxton,Town,Cortland,Rural
110386100000,114600,Virgil,Town,Cortland,Rural
110390900000,114800,Willet,Town,Cortland,Rural
110420402840,112203,McGraw,Village,Cortland,Smaller Urban Center (Upstate)
110439702360,112201,Homer,Village,Cortland,Smaller Urban Center (Upstate)
120100000000,120000,Delaware,County,Delaware,County
120302300000,122000,Andes,Town,Delaware,Rural
120318200000,122400,Colchester,Town,Delaware,Rural
120321900000,122600,Davenport,Town,Delaware,Rural
120322700000,122800,Delhi,Town,Delaware,Rural
120323100000,123000,Deposit,Town,Delaware,Rural
120336200000,123400,Hamden,Town,Delaware,Rural
120336800000,123600,Hancock,Town,Delaware,Rural
120337400000,123800,Harpersfield,Town,Delaware,Rural
120344400000,124000,Kortright,Town,Delaware,Rural
120351800000,124200,Masonville,Town,Delaware,Rural
120352400000,124400,Meredith,Town,Delaware,Rural
120353000000,124600,Middletown,Town,Delaware,Rural
120372700000,124800,Roxbury,Town,Delaware,Rural
120377700000,125000,Sidney,Town,Delaware,Rural
120380000000,125200,Stamford,Town,Delaware,Rural
120382900000,125400,Tompkins,Town,Delaware,Rural
120386600000,125600,Walton,Town,Delaware,Rural
120422701270,122801,Delhi,Village,Delaware,Smaller Urban Center (Upstate)
120436802140,123601,Hancock,Village,Delaware,Smaller Urban Center (Upstate)
120477704590,125001,Sidney,Village,Delaware,Smaller Urban Center (Upstate)
120480004800,123801,Stamford,Village,Delaware,Smaller Urban Center (Upstate)
120486605120,125601,Walton,Village,Delaware,Smaller Urban Center (Upstate)
130100000000,130000,Dutchess,County,Dutchess,County
130205000000,130200,Beacon,City,Dutchess,Suburb
130246000000,131300,Poughkeepsie,City,Dutchess,Smaller Urban Center (Upstate)
130301800000,132000,Amenia,Town,Dutchess,Rural
130305800000,132200,Beekman,Town,Dutchess,Suburb
130317600000,132400,Clinton,Town,Dutchess,Suburb
130323800000,132600,Dover,Town,Dutchess,Suburb
130324800000,132800,East Fishkill,Town,Dutchess,Suburb
130328800000,133000,Fishkill,Town,Dutchess,Suburb
130341400000,133200,Hyde Park,Town,Dutchess,Suburb
130344600000,133400,La Grange,Town,Dutchess,Suburb
130353100000,133600,Milan,Town,Dutchess,Suburb
130359300000,133800,North East,Town,Dutchess,Rural
130364500000,134000,Pawling,Town,Dutchess,Suburb
130366500000,134200,Pine Plains,Town,Dutchess,Rural
130367400000,134400,Pleasant Valley,Town,Dutchess,Suburb
130368600000,134600,Poughkeepsie,Town,Dutchess,Suburb
130370300000,134800,Red Hook,Town,Dutchess,Suburb
130370700000,135000,Rhinebeck,Town,Dutchess,Suburb
130380100000,135200,Stanford,Town,Dutchess,Rural
130384700000,135400,Union Vale,Town,Dutchess,Suburb
130386800000,135600,Wappinger,Town,Dutchess,Suburb
